text,date,dateval,time,timeval,people,peopleval,org,orgval,predict
we spent our time in Sangeh. We could enjoy the green and shady forest. There were so many monkeys. They were so tame but sometimes they could be naughty. We could make a close interaction with them. After that we went to Sukowati market for shopping. That was my lovely time. I bought some Bali T-Shirt and souvenirs.In the evening we had to check out from the hotel. We went back home bringing so many amazing memories of Bali.,,0,,0,,0,sangeh,1,0
When I was in the 2nd grade of senior high school my friends and I went to Bali. We were there for three days. I had many impressive experiences during the vacation.First day we visited Sanur Beach in the morning. We saw the beautiful sunrise together. It was a great scenery. Then we checked in to the hotel. After prepared our selves we went to Tanah Lot. We met so many other tourists there. They were not only domestic but also foreign tourists.Second day we enjoyed the day on Tanjung Benoa beach. We played so many water sports such as banana boat jetsky speedboat etc. We also went to Penyu island to see many unique animals. There were turtles snakes and sea birds. We were very happy. In the afternoon we went to Kuta Beach to see the amazing sunset and enjoyed the beautiful wave.,three days,1,afternoon,1,jetsky,1,kuta beach,1,1
We spent there marvelous time playing volleyball on the beach and swimming in the sea. One sunny day we were walking on the beach. It was stiflingly hot so I went to the shop to buy something cold to drink. My friends said that they would be waiting for me in a park near the shop. The shop was small so I found the bottle of cola quickly. I paid for it at a checkout and I wanted to get back to my friends but I couldn’t open the door. Although another person wanted to open the door they also weren’t able to do it. Suddenly there appeared men in black. I couldn’t call my friends because I left the mobile in a hotel room. They were talking with each other. But I didn’t know about what. An hour later the door was opened. And I came back to my friends who were very nervous. Then I got to know that one man had taken something and wanted to run away. Security had closed the door to catch the thief. I didn’t come back to that shop anymore.,one sunny day,1,hour,1,,0,,0,0
We went there by my car. It took long time to reach Bandung. It was about 2 hours and we had so many traffics in Bandung. As people could see Bandung is almost the same with Jakarta but the differences are in it’s culture. Not only that Bandung also had so many cold areas like Ciater etc. It was so wonderful in Bandung. I could release all my things at there. After we arrived in Bandung city we had a look at another places like ITB UNPAD etc. Then we had a lunch in a small restaurant. After lunch we continued our way to Ciater. Hope less it had a big traffic in the way to Ciater. So we stopped in a café until evening. Then we continued our way. It was so dark and it was scary on the left or right side. Only trees that we could see because we took pick the way to the higher place. Finally we arrived in Ciater.,,0,evening,1,,0,bandung city,1,0
While it is undisputed that 2016’s ‘hot toy’ was the Hatchimal it is unclear how much shoppers paid for the toy in the secondary market or how resellers fared. Using data on 34657 completed successful Hatchimal eBay auctions by 16726 sellers between October 13 and December 24 2016 I find that shoppers paid an average of $143.67 for the $60 toy.,October 13 December 24 2016,1,,0,,0,,0,1
we continued our walk it took us through the grounds on the edge of the Topkapi Palace the primary residence for the Ottoman Sultans and their Harem. At dusk the Palace proper was closed but the park grounds enjoy heavy foot traffic as families and young lovers had pick nicks on the grass and as people wandered around enjoying the cool(er) summer night air.From there our walk took us along the rocky shores of the Bosphorus River which forms the boundary between the part of Istanbul which is in Europe and the part which is Asia.  Some people were fishing along the river some were roasting corn or meats and still others were stopped to watch the sunset over the opposite shore.,,0,summer night,1,,0,edge topkapi palace,1,0
the fun started just down the street from our hotel where we saw this factory outlet store that sold discounted Magic Lamps (apparently) and also fez. We had to bring back a bright red fez for our son because we have it on very good authority (Matt Smith’s Doctor no less) that fezzes are cool and of course they are.And then of course we felt an urgent need to eat Turkish Delight on a moonlit night (hearing a certain set of song lyrics echoing in our heads) and we discovered the enormous range of different kinds of Turkish candies on offer most of which come in long strips which the candy butchers snip snip with scissors before dropping chunks into custom-selected sampler boxes.  By now my sweet tooth is legendary all over Europe so I was certainly not going to resist this kind of temptation.,,0,,0,matt smith,1,,0,0
A man elbows your character in a crowd. After he is gone she discovers her cell phone is too. She calls her own number and the man answers. She explains that the cell phone has personal information on it and asks the man to send it back to her. He hangs up. Instead of going to the police your character decides to take matters into her own hands... After your character loses his job he is home during the day. That’s how he discovers that his teenage son has a small marijuana plantation behind the garage. Your character confronts his son who instead of acting repentant explains to your character exactly how much money he is making from the marijuana and tries to persuade your character to join in the business...,,0,,0,,0,marijuana,1,0
They could overlook the river and the far-flung snow-capped peaks of the Himalayas. A visit to the Vashishta Baths was really a thrilling experience. They visited the Hidimba Temple and the famous Vyas shrine. Many European tourists had adopted a village near the river. They were in the news for the wrong reasons. Many of them were drug addicts and hard drunkards. The visit to the Salang Valley and the famous Rohtang Pass was really very exciting and an incredible experience. They say good things don’t last long. They had made arrangements to stay in Manali and Kullu for twenty days. But this was not to be. His uncle flashed a message that the date for counselling to his IIT Admission was fixed on the next Monday. He couldn’t take a chance. He had to leave the little paradise to prepare him for the next assignment.,next monday,1,,0,vashista bath,1,,0,1
Mohit was excited. His father had made arrangements for a trip to Kullu and Manali during the holiday. Preparations had started a week before. He was told that sometimes even summer nights can be quite cold if it rains. So some woollen clothes were also packed up along with other clothes. They were to leave Delhi on the night of 25th May in an airconditioned bus from ISBT New Delhi. Hotels were booked in advance.,night 25th,1,,0,wollen,1,new delhi,1,1
I eagerly waited for the bell to ring at 1:30 p.m..Then I felt like a caged bird hat has just been set free. I slang my bag over my shoulder and make my way to my dorm to pick up some bags to bring home. I waited for my mother for a couple of minutes. Finally she came. I put my bags in the car and hoped in. In the car my mother told me that the whole family is going to our hometown. I felt very excited because I missed my hometown very much. When we got home I quickly packed my clothes so that I won’t be rushing the next day.,next day,1,couple minutes,1,slang,1,bell,1,1
A cool breeze blowed. I can hear the soft rustle of leaves. The air is heavy with the scent of grasses coupled with the scent of ripe durians. I can’t wait to eat durians if there’s some at home. I hope so.I lied on my back with my hand behind my head and watched streaks of sunlight filtering through the canopy of leaves. Soon I fall into short but deep slumber. When I woke up I can see the sun slowly descending behind a row of far hills. Although I would love to linger for a little longer I moved away reluctantly and leaved knowing that my grandparents and family would be waiting for me. ,,0,,0,cool breeze,1,far hills,1,0
Friends family and holiday cheer Make Christmas the most wonderful time of the year! Please Join Us For A Holiday Celebration Friday December 19 at 6:00 PM Abby and Danisha’s Home 1234 Holiday Road Coon Rapid Bring a wrapped $20 gift to exchange (details to follow) RSVP to Danisha (123-456-7890 / danisha@emailprovider.com) by Dec. 7,December 19,1,6:00 PM,1,Abby,1,,0,1
Hi Rendi. This is Zipwhip Animal Clinic. We wanted to confirm Dens’s appointment. Does 9 a.m. still work?,tomorrow,1,9 a.m.,1,Rendi,1,Dens’s,1,1
Hi John. This is John from Zipwhip Medical Clinic. Just a reminder to fill out all of the new patient paperwork we emailed you prior to your appointment at 11 a.m at our Seattle office. Thanks!,,0,11 a.m,1,john,1,,0,0
I just wanted to double check that it still works for you to chat at Pizzahut. Please let me know!,,0,,0,,0,,0,0
Hey team we have three different topic training classes for you to come to. September 09. Please respond with the time you want. Space is limited and is first come.,september 09,1,,0,,0,,0,0
Hi gerry good to hear from you. There are a few details. When do you have a couple of minutes to talk through things?. How about tomorrow 2:30 pm?. Sound good!,tomorrow,1,2:30 pm,1,,0,,0,1
Hello this is Midtown Medical Centre. Hello. I’d like to make an appointment to see the doctor please. Have you been here before? No I haven’t. Ok. Can I have your name please? It’s Sara Jones. I have an opening at 2:30 this afternoon. Is that ok? Yes that’s fine.  We’ll see you soon. Thank you. Goodbye.,,0,2:30 this afternoon.,1,Sara Jones,1,,0,0
Good morning Can I make an appointment with Michelle please? Is it for a hair cut? Yes. When do you want to come in? Do you have something on Saturday afternoon? Yes is 4pm ok? Yes that’s fine. What’s you name please? It’s Kate Smith. Ok Kate we’ll see you at 4pm on Saturday.,Saturday,1,4pm,1,Kate,1,,0,1
What are you doing this weekend?  I am not sure. What are you doing? I was thinking of maybe taking a drive to the beach. That sounds like a great idea! Would you be interested in joining me? Sure I would love to go with you. When would you be leaving?  I thought that we could leave around 8:00 on Saturday morning. That would give us plenty of time to explore. Did you know that there is a music festival on the beach in Santa Barbara? That was part of my plan. Well then I’ll see you on Saturday. Thanks for asking me to go with you.,Saturday,1,around 8:00,1,,0,,0,1
Do you have any plans for the weekend? I haven’t given it much thought. What were you thinking of doing? I was planning on taking a trip up the coast to the beach. What a perfect thing to do on a beautiful weekend! Would you like to come along?  I think I would enjoy that a lot. When would we leave? Saturday morning around 8:00. Good. That would get us there with time to look around. There is a music festival in Santa Barbara on the beach that day. Yes I was hoping to be able to go to the festival. I am so glad we talked. Thank you for inviting me to the beach with you.,weekend,1,8:00,1,glad,1,,0,1
Have you thought about what you might like to do this weekend? I have no idea. Do you have any ideas? If the weather stays nice I’d like to go to the beach. That would be a good choice. The weather has been great for the beach! Why don’t you come with me? Hey that would be perfect! What time are you leaving? I think that Saturday morning around 8:00 would work out well. Santa Barbara has a music festival on the beach that day. We would have enough time to drop in and see it. Yes I knew the festival would be there and was looking forward to going to it. I am really looking forward to Saturday. Thank you for letting me go with you.,Saturday,1,8:00,1,Santa Barbara music festival beach,1,,0,1
Where did you go on holiday? I went to Beijing with my parents. What did you see there? We saw the Great Wall and other interesting places such as old palaces as well as pandas. They were really interesting! Really? Where did you stay anyway? We stay at the Orange Hotel near the Palace Museum.,,0,,0,Beijing,1,,0,0
Guess what! I’m going to San Francisco! Really? When? Tomorrow. I’m flying with Ocean Airlines. Do you need a ride to the airport? No thanks. I’m OK. I can get a taxi. Have you ever been to San Francisco? Yes. I have been there several times. There are many interesting places that you can visit such as the Golden Gate Bridge. What about Fisherman’s Wharf? Oh that’s one of my favorites! There are lots of seafood restaurants you can sit at for lunch. Where are you going to stay? I have booked a room at the Pacific Tradewinds Hostel. It is geared towards international travelers and it is close to Chinatown.,Tomorrow,1,,0,Fisherman’s Wharf,1,,0,0
Skyscanner Travel. How can I help you? Yes I want a plane from in London to Bangkok on September 20th. Can you find me the least expensive flight? Would you prefer to leave from Gatwick or Heathrow Airport? Gatwick Airport Please. Let me see. Yes. I have a 5:30 flight on Thai Airways.  One hour for economy class and thirty minutes for business class. Will you take that? There won’t be another direct flight on Saturday. There will be one on Friday at the same time. I can’t leave before September 20th. What about from Heathrow Airport?  Economy class costs £386.  Alright let’s go with that.,September 20th,1,thirty minutes,1,plane London,1,Thai Airways,1,1
Good morning I am thinking to go for a vacation this year with my family. Can you suggest a good destination for the vacation and its cost? Good morning sir I will give you the complete information. When are you planning to go? Do you want to go somewhere in India or abroad? I want to go abroad and preferably to Europe. I am thinking to take my family in Summer holidays as the kids will be free. Please let me know a place which can be visited during this time and has the best weather. There are many places you can travel in the month of May-June. One of them is definitely Europe the season is amazingly good as the climate is not very cold as well as hot. Which all countries should be added to the package if I opt for Europe? You can add Switzerland Italy France and Austria to your package they are the best places to visit in Europe. Also I can add London to your package. However it would add to the package.  If you want to go to Asian countries you can try Thailand and even Singapore and Malaysia.,family summer holiday,1,morning,1,,0,malaysia,1,1
So what are your plans for this weekend? I don’t know. Do you want to get together or something? How about going to see a movie? Cinemax 26 on Carson Boulevard is showing Enchanted. That sounds like a good idea. Maybe we should go out to eat beforehand.  It is fine with me. Where do you want to meet?  Let’s meet at Summer Pizza House. I have not gone there for a long time. Good idea again. I heard they just came up with a new pizza. It should be good because Summer Pizza House always has the best pizza in town. When should we meet? Well the movie is shown at 2:00PM 4:00PM 6:00PM and 8:00PM. Why don’t we go to the 2:00PM show? We can meet at Summer Pizza House at noon. That will give us plenty of time to enjoy our pizza. My cousin Karen is in town. Can I bring her along? I hate to leave her home alone. Karen is in town? Yes bring her along. Laurie you remember Karen? We met her at Sara’s high school graduation party two years ago.,weekend,1,6:00PM and 8:00PM,1,sara,1,,0,1
Hi May Yes I can see that through your face. What’s up May? Hi Jane I’m so happy. Next week will be Holiday. Finally it will be free for my leg. Yeah that’s true. Finally we can breathe some fresh air. By the way what will you do? I am going to visit my favorite place. Because I miss that place so much. hat’s beach isn’t it?! Yup that’s true. So how about you Jane? Will you go somewhere? I’m not sure. I will go to visit my sister. But it’s just my plan. Oh no… come on girl… This will be a short time. Let’s change your plan. How? What do you mean? Join with me to the beach. Will you? I’m not sure because I called my sister that I would visit her this holiday.,next week holiday,1,,0,jane,1,’s beach,1,1
Many people take their main holiday in summer and although some people choose a last-minute break others plan their holiday months in advance. The beginning of the year is a good time for people to start looking at holiday brochures. Tour operators (companies that organise holidays) as well as travel agents (the people that sell holidays) give lots of information about holiday destinations and types of holiday.,holiday summer,1,last-minute,1,,0,,0,0
Hello Fatima! How did you enjoy the picnic? Well I enjoyed it very much. The picnic spot was very fine indeed. Yes it was so near the river. We could see the fisherman catching fish with their nets. Didn’t you enjoy the boat ride? Oh yes I did. But I enjoyed the food most of all. Ratan is an expert cook. The chicken curry was delicious. That’s right and the journey back home was also so fine. You sang all the way. Oh yes I did. Everybody did. You really sing well.,,0,,0,fatima,1,river,1,0
Good afternoon. This is Doctor Emma’s office. How may I help you? Hi. I’d like to make an appointment to see Doctor Emma please.  Have you seen Doctor Emma before? Yes I have. I had a physical check-up three months ago. All right. What’s your name? My name is Angela Smith. Ms. Smith could you please wait a moment? I’m searching your file. Sure. Thank you. I’ve found your information. May I know the reason of making this appointment? I’ve been feeling sick lately. I’d like to see Doctor Emma soon. Okay. There’s one available time this Friday at 8 a.m in the morning. Yes. That would be great. Very well. I’ll schedule an appointment for you 8 o’clock this Friday. Thank you.,friday,1,afternoon,1,,0,,0,1
Hi Dave. What are you doing this Saturday? I’m going to the Coldplay’s concert. Really? Me too! How about we go to the venue together? Actually I’m going with my cousin but you’re welcome to join us. I’ll come with you if it’s that okay for your cousin. So… where should we meet?  I’ll drive and pick you up at your house at 5 p.m. How about that? All right. See you both at 5 on Saturday!,saturday,1,5 p.m.,1,dave,1,,0,1
Excuse me Mr.Edgar. I’d like to talk with you about my final assignment. Could I make an appointment with you? I’m free this Wednesday from one until three. What works best for you? I’d like to come in at one o’clock. Fine. I’ll see you in my new office. Do you know where it is? I’m afraid I don’t. It’s on the first floor next to the counseling room. Okay I’ll find it.,wednesday,1,,0,,0,,0,0
Hello. This is Beauty Hair. How can I help you? Hi. Can I make an appointment with Lucy please? Is it for a hair treatment? No it’s for a haircut and coloring. Oh okay. When would you like to come in? Is there anything available after four on Tuesday? Is 6 pm okay? Yeah that’s fine.  All right. What’s your name please? Meghan George. Thanks.,four tuesday,1,6 pm,1,lucy,1,,0,1
Good afternoon sir. We’d like to discuss the new project with you. When would be the best time for you? How about tomorrow morning? That would be good. What time would we meet?  I’ll check my schedule and my assistant will e-mail you the exact time. All right. I’ll make sure that the other committees get notified about this. Good.,tomorrow,1,morning,1,,0,,0,1
Hello.Good afternoon. May I speak to Nadia’s parent? I’m her mother. Who is this? I’m Budi her homeroom teacher. Oh hello Mr. Budi. What are you calling about? Is Nadia messing up in school? No she isn’t. I’m calling about the parent teacher meeting. How about this Friday at 2 pm? Is that convenient for you? Yes that would be great. I’ll be waiting for you on Friday. Okay. Thank you.,friday,1,afternoon,1,budi,1,nadia’s,1,1
I’d like to make an appointment for a check-up. We have an opening on Friday October 12th at 3 o’clock.  I’m sorry I work on Friday’s. Do you have any appointments available on Monday or Wednesdays? Our first Monday appointment would be October 22nd at 9 in the morning. Could you make that? Yes that would be fine. What is your name? Luci Garcia. What is your phone number? 206-764-2110. OK. I’ve noted that on the schedule. We will see you on Monday October 22nd at 9 for a physical check-up. Plan on spending about 1 hour at the clinic. Thank you. Good-bye.,Monday October 22nd 9,1,1 hour,1,Luci Garcia,1,,0,1
The Festival of the Sun. It was launched by a grant from UNESCO and European Commission. The major objective of this Mediterranean festival is to create a common framework for the preservation of cultural identities of the Mediterranean people while moving closer together. In order to celebrate and to promote the Sun Festival presence in Egypt festivities were held in one of the alleys of the World Heritage site of Historic Cairo. The Ministry of Culture encourages traditional festivals to become privileged occasions for sharing hospitality and be open to others while protecting the various traditions and arts and crafts surviving through them. Another goal is to make a first inventory and mapping of Egyptian traditional festivals to be recorded in a national data base in order to protect and promote the Network. The Ministry of Culture participates in a large number of Symposiums conferences festivals biennales international events for all type of arts and Culture.,,0,,0,festival sun,1,caito,1,0
Waow this festival is so huge. Are there many festivals like this in Bali? Well. There are several festivals like this in Bali. In Bali there are 8 regencies. Every regencies hold a festival. The name of the festival is different from one another. There are Legian Beach Festival Ubud Festival and many others. Are all the festivals have its own uniqueness? Sure John. In Bali there are lots of traditions and cultures so there will be different concepts and ideas. Amazing. Are there any other events beside that? Sure. There are many food s’s over there. The food s’s are from five stars hotel and we can get special price with a very delish food.,,0,,0,john,1,bali,1,0
Hello this is Beauty Care. This is Lusi speaking. What can I do for you? Hello Lusi. I’d like to have a chemical peel. Yes that is no problem. Would you like to make an appointment? Yes please. Is Friday ok for you? At 7 o’clock? Sorry but I have class at that time. What about at 3 pm? Yes the slot is still available. What is your name for reservation? Lilian. Lilian. Ok Lilian we’ll see you on Friday.,friday,1,3 pm,1,,0,,0,1
That guy jumped off the roof and came at Renji.It’s an orc. Of course it’s an orc. Its hair is white. It’s got a luster to it so it could look silver too. Coincidentally Renji’s hair is silver too.Is there a rule saying silver-haired guys have to be insane? Because that orc is clearly insane too. Its body is big and on top of wearing black armor it’s got this cape with a tiger stripe pattern that’s actually probably real tiger fur which is insanely flashy. Those tattoos all over its face are insane. The look in its eyes is insane. Its yellow eyes look so wild it’s insane. Despite that its expression is calm and it looks pretty smart which is insane.And then there’s the sword. The one-edged sword that orc has is purpleish long thick and sharp-looking with a jagged back side that looks insane.,,0,,0,yellow,1,,0,1
Philadelphia goes all out for the holidays every year and many of the grand festivities are centered around City Hall. For the first time ever a 65-foot ’ Ferris wheel delights guests at the brand-new Wawa Holiday Plaza which is situated at the North Apron of City Hall. The plaza also features the Visit Philly Holiday Tree and the Christmas Village Holiday Train for the little ones. The whimsical holiday carousel — part of ACME Winter Memories — also returns to the City Hall courtyard this year alongside new-for-2019 vendors selling Philly-roasted coffee delicious desserts and more.Meanwhile — on the west side of the building at Dilworth Park — visitors can test their skills on the ice at the Rothman Orthopaedics Ice Rink get cozy with festive food and drink at the Rothman Orthopaedics Cabin and watch the amazing Deck The Hall light show which is projected onto City Hall.Also at Dilworth Park folks can find only-in-Philly gifts from local and regional makers at the Made in Philadelphia Holiday Market or simply take a relaxing stroll through the evergreen-filled Wintergarden.,new-for-2019,1,,0,ferris,1,evergreen,1,1
Planning your next holiday getaway just got a little easier. Frankenmuth Michigan has been named the top U.S. city to get you in the holiday spirit.Located a short 90-minute drive north of Detroit Frankenmuth’s Little Bavaria is an ideal location to find those sought-after holiday vibes according to VacationRenter.com. Frankenmuth highlight’s the area’s German roots and Bavarian-style architecture. It’s also home to Christmas Lane which is lit up with over 100000 lights the Silent Night Memorial Chapel and the world’s largest Christmas store Bronner’s CHRISTmas Wonderland which is open year-round. Bronner’s CHRISTmas Wonderland covers 2.2 acres and houses over 50000 gifts three 17-foot outdoor Santas and a 15-foot snowman.,christmas,1,,0,,0,santas,1,0
My last holiday was in Germany. I’m growed up there so it isn’t quite a common tourist holiday for me.I went by car with my wife and our four kids. It was a really long drive (about 1300 kilometre) so we stayed in a hotel in the middle of the journey.When we arrived we had a really relaxed time with my wife’s family.I t was a great holiday for us because we spend a lot of time with our old friends and our relatives but next time we’ll travel by plane.,last holiday,1,,0,,0,germany,1,0
My last holiday was a five-day trip to Prague in the Czech Republic. I know Prague well because I lived there when I was at university more than ten years ago.Instead of staying in a hotel I stayed with one of my old friends. It was so much fun and a little bit like my old life. I wanted to do all the same things I did in my university days so I visited the university. It has changed a lot and looks more modern. I also went to the supermarket near my old house. I loved seeing all the different foods. I was really happy to find my favourite cheese and chocolate biscuits but they were a bit more expensive than I remember!We did some touristy things too. We walked up beautiful Petrin Hill and around the castle. The views of the city are amazing up there. We walked across the historic Charles Bridge. My friend’s flat is very near the TV Tower so we saw the famous baby statues climbing up it. Those things haven’t changed of course.,things university days,1,,0,,0,Charles Bridge,1,0
Holiday semester break this time anyer my vacation to the beach with my friends. On Thursday me and my friends went to the beach anyer when he got there on his night me and my friends a moment to rest. I played it the next day at the beach anyer swim together enjoying the beautiful beach watching the sunset and photos.On Saturday we hurried home for me this holiday very enjoyable and memorable can gather with friends.,nextday,1,,0,,0,,0,0
There were so many things that we had bought for our family day at the beach like snacks and refreshments and meats and rice and so the list goes on. Now that the day had finally arrived I was ready to spend a wonderful time with my parents at the beach. On Sunday morning my mom and dad had been busy cooking the food in the kitchen while I helped packed the refreshments in a large cooler box with ice.By the time my parents had finished preparing the food they had packed it into a large box with plates and spoons and forks. Then we had started packing everything into our family caravan. Soon in the next hour we were driving through the main road and we were on our way to the beach which is actually my favorite place in the world so far.The sea water was blue and beautiful as it sparkles in the warm sun. There were a few people here and there on the beach. Some were busy playing cricket while a few kids were building sand castles just for fun. There were at least three or six people for the most already bathing in the clear blue sea water. By the time we had gotten out from the caravan I was already excited to go into the water and enjoy a fine sea bath. My mom had seemed to have read my mind so she told me that’s it lunch first and then we all can go into the water.,sunday,1,next hour,1,,0,people beach,1,1
I went to the Kartini beach in Jepara Central Java. I went with my family. I went from my grandparents home in Kudus at 08.00 a.m. by using a car. and we arrived in the beach Kartini at 10:00 a.m . In Kartini beach I swam with my brothers and my sisters. After swam then we play sand. we made a fort houses and hills of sand. after being satisfied playing on the beach then we change clothes and take a break to eat the roast corn and drank coconut water. after sufficient rest we continued to view seascape with boats . I really enjoy the atmosphere in the beach Kartini. after having fun as long five hours finally we returned to home. Before reaching home we rested beforehand and buy a meatball on the side of the road. its very tasty meatballs until I finished two bowl . After that we went home and got home with safely. It was an tired day but I’m very happy because I can have fun with all my family.,,0,08.00 a.m.,1,,0,,0,0
we spent our time in Sangeh. We could enjoy the green and shady forest. There were so many monkeys. They were so tame but sometimes they could be naughty. We could make a close interaction with them. After that we went to Sukowati market for shopping. That was my lovely time. I bought some Bali T-Shirt and souvenirs.In the evening we had to check out from the hotel. We went back home bringing so many amazing memories of Bali.,,0,,0,,0,sangeh,1,0
